id,nome,dipartimento,cluster,competenze_trasversali,abilita_trasversali,conoscenze_trasversali,raccordi,fase,note
PRD-CLAS,Letterature classiche (greco-latino-italiano),LETT,GRC|LAT|ITA,GRC.COM.LETT.04|LAT.COM.LETT.03|ITA.COM.LETT.05|GRC.COM.LETT.03|LAT.COM.LETT.02|ITA.COM.LETT.03|GRC.COM.LETT.01|LAT.COM.LETT.01|ITA.COM.LETT.02|GRC.COM.ANAL.01|LAT.COM.ANAL.01|ITA.COM.ANAL.04|GRC.COM.CRIT.01|LAT.COM.CRIT.01|ITA.COM.CRIT.01|GRC.COM.ANAL.02|LAT.COM.ANAL.02|ITA.COM.ANAL.03,,,PAR-0001|PAR-0002|PAR-0003|PAR-0004|PAR-0005|PAR-0006|PAR-0007|PAR-0008|PAR-0009|PAR-0010|PAR-0011|PAR-0012|PAR-0013|PAR-0014|PAR-0015|PAR-0016|PAR-0017|PAR-0018|PAR-0019|PAR-0020|PAR-0021|PAR-0022|PAR-0023|PAR-0024|PAR-0025|PAR-0026|PAR-0027|PAR-0028|PAR-0029|PAR-0030,triennio,"Albero dei generi e dei topoi condivisi: dimensione autoriale, intertestualita', analisi e critica sulle tre letterature"
PRD-GL,Lingue classiche (greco-latino),LETT,GRC|LAT,GRC.COM.TRAD.03|LAT.COM.TRAD.03|GRC.COM.TRAD.05|LAT.COM.TRAD.06|GRC.COM.TRAD.04|LAT.COM.TRAD.05|GRC.COM.TRAD.01|LAT.COM.TRAD.01,,,PAR-0018|PAR-0030|PAR-0039|PAR-0042|PAR-0044,quinquennio,"Morfosintassi comparata, tecnica della traduzione, civilta' antica e scienze dell'antichita'"
PRD-LI,Continuita' latino-italiano,LETT,LAT|ITA,LAT.COM.LETT.01|ITA.COM.LETT.02|LAT.COM.LETT.03|ITA.COM.LETT.05|LAT.COM.LETT.02|ITA.COM.LETT.03|LAT.COM.TRAD.04,,,PAR-0016|PAR-0017|PAR-0027|PAR-0028|PAR-0029,triennio,"Dalla lingua latina al volgare; retorica, generi e fortuna; intertestualita' e dimensione autoriale"
